#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:50:55       0     51     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       1     55     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       2     57     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       3     53     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       0     51     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       1     55     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       2     56     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       3     53     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       0     51     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       1     55     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       2     57     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       3     53     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       0     51     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       1     55     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       2     57     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       3     53     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       0     51     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       1     55     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       2     56     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       3     53     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       0     51     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       1     55     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       2     56     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       3     53     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       0     51     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       1     55     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       2     56     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       3     53     35     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:04       0     51     34     35      0      0      0      0      0      0   1215    210      0      0 
