#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:50:55       0     51     35     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:55       3     49     34     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       0     51     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:56       3     49     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:58       3     49     34     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:50:59       3     49     34     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:00       3     49     34     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:01       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:02       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:04       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:04       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:04       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:04       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:05       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:05       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:05       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:05       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:06       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:06       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:06       2     61     36     52      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:06       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:07       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:07       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:07       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:07       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:51:08       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:08       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:08       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:08       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:09       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:09       1     53     34     35      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:09       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:09       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:11       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:11       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:11       2     61     36     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:11       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:12       0     51     34     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:12       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:12       2     61     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:12       3     49     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:13       0     51     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:13       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:13       2     61     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:13       3     49     33     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:14       0     51     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:14       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:14       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:14       3     49     33     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:15       0     51     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:15       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:15       2     61     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:15       3     49     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:16       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:16       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:16       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:16       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:18       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:18       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:18       2     61     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:18       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:19       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:19       1     52     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:19       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:19       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:20       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:20       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:20       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:20       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:51:21       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:21       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:21       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:21       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:22       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:22       1     53     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:22       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:22       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:23       0     50     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:23       1     53     33     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:23       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:23       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:25       0     50     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:25       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:25       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:25       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:26       0     50     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:26       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:26       2     60     35     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:26       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:27       0     51     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:27       1     52     32     34      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:27       2     60     34     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:27       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:28       0     50     33     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:28       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:28       2     60     34     51      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:28       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:29       0     50     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:29       1     53     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:29       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:29       3     49     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:31       0     50     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:31       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:31       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:31       3     49     32     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:32       0     50     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:32       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:32       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:32       3     49     32     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:33       0     50     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:33       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:33       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:33       3     49     31     32      0      0      0      0      0      0   1215    210      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:51:34       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:34       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:34       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:34       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:35       0     50     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:35       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:35       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:35       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:36       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:36       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:36       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:36       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:38       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:38       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:38       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:38       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:39       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:39       1     52     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:39       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:39       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:40       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:40       1     52     32     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:40       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:40       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:41       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:41       1     52     31     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:41       2     60     34     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:41       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:42       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:42       1     52     31     33      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:42       2     60     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:42       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:43       0     50     32     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:43       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:43       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:43       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:45       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:45       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:45       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:45       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:46       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:46       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:46       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:46       3     49     31     31      0      0      0      0      0      0   1215    210      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:51:47       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:47       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:47       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:47       3     49     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:48       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:48       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:48       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:48       3     49     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:49       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:49       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:49       2     59     33     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:49       3     49     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:51       0     50     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:51       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:51       2     59     33     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:51       3     49     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:52       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:52       1     52     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:52       2     59     33     50      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:52       3     49     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:53       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:53       1     52     31     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:53       2     59     33     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:53       3     49     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:54       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:54       1     52     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:54       2     59     33     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:54       3     48     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:55       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:55       1     52     30     32      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:55       2     59     33     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:55       3     48     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:56       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:56       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:56       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:56       3     49     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:58       0     50     31     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:58       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:58       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:58       3     48     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:59       0     50     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:59       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:59       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:51:59       3     48     30     30      0      0      0      0      0      0   1215    210      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20250128    04:52:00       0     50     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:00       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:00       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:00       3     48     30     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:01       0     50     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:01       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:01       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:01       3     48     29     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:02       0     50     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:02       1     52     30     31      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:02       2     59     32     49      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:02       3     49     29     30      0      0      0      0      0      0   1215    210      0      0 
 20250128    04:52:03       0     55     30     31      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:03       1     58     30     31      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:03       2     67     32     49      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:03       3     54     30     30      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:05       0     57     30     31      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:05       1     59     30     31     13      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:05       2     66     32     49     13      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:05       3     54     30     30      6      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:06       0     55     30     31      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:06       1     80     31     32    100      0      0      0      0      0   1215   1410      0      0 
 20250128    04:52:06       2     90     34     49    100      0      0      0      0      0   1215   1410      0      0 
 20250128    04:52:06       3     76     30     30    100      0      0      0      0      0   1215   1410      0      0 
 20250128    04:52:07       0     55     30     31      0      0      0      0      0      0   1215   1095      0      0 
 20250128    04:52:07       1     81     31     32    100      0      0      0      0      0   1215   1410      0      0 
